r,t,f,y,UseByTechnologyAnnual
RE1,DEMRESHEBIO,BIO,2016,2.2504
RE1,DEMRESHEBIO,BIO,2017,8.4312
RE1,DEMRESHEBIO,BIO,2018,14.6121
RE1,DEMRESHEBIO,BIO,2019,20.7932
RE1,DEMRESHEBIO,BIO,2020,26.9745
RE1,DEMRESHEBIO,BIO,2021,27.3176
RE1,DEMRESHEBIO,BIO,2022,27.6573
RE1,DEMRESHEBIO,BIO,2023,27.9943
RE1,DEMRESHEBIO,BIO,2024,28.329
RE1,DEMRESHEBIO,BIO,2025,28.6621
RE1,DEMRESHEBIO,BIO,2026,28.9648
RE1,DEMRESHEBIO,BIO,2027,29.267
RE1,DEMRESHEBIO,BIO,2028,29.5691
RE1,DEMRESHEBIO,BIO,2029,29.8716
RE1,DEMRESHEBIO,BIO,2030,30.1745
RE1,DEMRESHEBIO,BIO,2031,29.6266
RE1,DEMRESHEBIO,BIO,2032,29.1276
RE1,DEMRESHEBIO,BIO,2033,28.6705
RE1,DEMRESHEBIO,BIO,2034,28.2496
RE1,DEMRESHEBIO,BIO,2035,29.1261
RE1,DEMRESHEBIO,BIO,2036,29.1234
RE1,DEMRESHEBIO,BIO,2037,29.1154
RE1,DEMRESHEBIO,BIO,2038,29.1028
RE1,DEMRESHEBIO,BIO,2039,28.9171
RE1,DEMRESHEBIO,BIO,2040,12.0607
RE1,DEMRESHEBIO,BIO,2044,16.723
RE1,DEMRESHEBIO,BIO,2045,28.3349
RE1,DEMRESHEBIO,BIO,2046,27.8513
RE1,DEMRESHEBIO,BIO,2047,16.2996
RE1,DEMRESHEBIO,BIO,2048,5.0422
RE1,DEMRESHEBIO,BIO,2049,1.3949
RE1,DEMRESHEEL,ELC003,2049,1.8365
RE1,DEMRESHEEL,ELC003,2050,22.1804
RE1,DEMRESHEEL,ELC003,2051,21.9749
RE1,DEMRESHEEL,ELC003,2052,21.7714
RE1,DEMRESHEEL,ELC003,2053,21.5699
RE1,DEMRESHEEL,ELC003,2054,21.3702
RE1,DEMRESHEEL,ELC003,2055,21.1723
RE1,DEMRESHEEL,ELC003,2056,20.9764
RE1,DEMRESHEEL,ELC003,2057,20.7822
RE1,DEMRESHEEL,ELC003,2058,20.59
RE1,DEMRESHEEL,ELC003,2059,20.3995
RE1,DEMRESHEEL,ELC003,2060,20.2109
RE1,DEMRESHEEL,ELC003,2061,20.0165
RE1,DEMRESHEEL,ELC003,2062,19.824
RE1,DEMRESHEEL,ELC003,2063,19.6335
RE1,DEMRESHEEL,ELC003,2064,19.4449
RE1,DEMRESHEEL,ELC003,2065,19.2582
RE1,DEMRESHEEL,ELC003,2066,19.0734
RE1,DEMRESHEEL,ELC003,2067,18.8906
RE1,DEMRESHEEL,ELC003,2068,18.7096
